train_no,departure_time,destination,type,ladies_special
T1305,13:05,PANVEL,slow,no
T1315,13:15,PANVEL,slow,no
T1323,13:23,PANVEL,slow,no
T1331,13:31,PANVEL,slow,no
T1335,13:35,PANVEL,slow,no
T1347,13:47,PANVEL,slow,no
T1351,13:51,PANVEL,slow,no
T1402,14:02,PANVEL,slow,no
T1412,14:12,PANVEL,slow,no
T1420,14:20,PANVEL,slow,no
T1428,14:28,PANVEL,slow,no
T1444,14:44,PANVEL,slow,no
T1454,14:54,PANVEL,slow,no
T1506,15:06,PANVEL,slow,no
T1516,15:16,PANVEL,slow,no
T1520,15:20,PANVEL,slow,no
T1528,15:28,PANVEL,slow,no
T1536,15:36,PANVEL,slow,no
T1540,15:40,PANVEL,slow,no
T1548,15:48,PANVEL,slow,no
T1640,16:40,PANVEL,slow,no
T1648,16:48,PANVEL,slow,no
T1655,16:55,PANVEL,slow,no
T1707,17:07,PANVEL,slow,no
T1715,17:15,PANVEL,slow,no
T1723,17:23,PANVEL,slow,no
T1727,17:27,PANVEL,slow,no
T1740,17:40,PANVEL,slow,no
T1744,17:44,PANVEL,slow,no
T1752,17:52,PANVEL,slow,no
T1805,18:05,PANVEL,slow,no
T1809,18:09,PANVEL,slow,no
T1817,18:17,PANVEL,slow,no
T1830,18:30,PANVEL,slow,no
T1840,18:40,PANVEL,slow,yes
